Video ID,Title,Likes,Actual Views,Predicted Views
zTD57bOhXMA,Huda: Love Island Tell All (Full Episode),131187,5484414,5164059
AuqEZx6TmfI,Stephen Colbert Announces The Cancellation Of “The Late Show”,153749,4017159,5219805
ZdC5mFHPldg,Mortal Kombat II | Official Trailer,303763,8628790,5590456
BxY5l4ZK61I,Monster High Fright Song ft. KATSEYE | Official Music Video | Monster High,247492,1540046,5451423
YShVEXb7-ic,Tron: Ares | Official Trailer,107091,6859860,5104523
